snapshot,case_id,branch,source_dataset,file_ext_reported,ct_path,mask_path,H,W,D,vx,vy,vz,voxmm3,ct_size_mb,mask_size_mb,mask_empty,fg_vox,fg_mm3,shape_match,spacing_match,hu_min_samp,hu_max_samp,hu_p0_5_samp,hu_p99_5_samp
raw,0004c4e54c,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/0004c4e54c.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/0004c4e54c.nii.gz,512,512,28,0.4882810115814209,0.4882810115814209,5.287567138671875,1.2606530129989033,6.210516929626465,0.00696563720703125,1,0,0.0,1,1,-3024.0,1804.0,-3024.0,1500.00390625
raw,000a935543,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/000a935543.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/000a935543.nii.gz,512,512,32,0.4882810115814209,0.4882810115814209,5.102493762969971,1.2165281248252682,7.508084297180176,0.007929801940917969,1,0,0.0,1,1,-3024.0,1811.0,-3024.0,1455.0
raw,000f6fd7db,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/000f6fd7db.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/000f6fd7db.nii.gz,512,512,32,0.47265625,0.47265625,5.0,1.1170196533203125,6.418369293212891,0.0078887939453125,1,0,0.0,1,1,-1017.0,1353.0,-1010.0,890.0078125
raw,004a886d8d,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/004a886d8d.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/004a886d8d.nii.gz,512,512,29,0.4375,0.4375,5.0,0.95703125,6.471005439758301,0.007164955139160156,1,0,0.0,1,1,-1021.0,1661.0,-1015.0,1231.0
raw,004d738431,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/004d738431.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/004d738431.nii.gz,512,512,36,0.4882810115814209,0.4882810115814209,3.884657144546509,0.9261735322325092,8.179977416992188,0.008914947509765625,1,0,0.0,1,1,-3024.0,1778.0,-3024.0,1522.0
raw,004ff2a4c8,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/004ff2a4c8.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/004ff2a4c8.nii.gz,512,512,38,0.453125,0.453125,5.0,1.026611328125,7.962808609008789,0.009364128112792969,1,0,0.0,1,1,-1019.0,1511.0,-1012.0,1023.00390625
raw,008d5bbf7b,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/008d5bbf7b.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/008d5bbf7b.nii.gz,512,512,38,0.48828125,0.48828125,5.0,1.1920928955078125,7.7644243240356445,0.009356498718261719,1,0,0.0,1,1,-1024.0,2265.0,-1011.0,1028.00390625
raw,009a66a555,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/009a66a555.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/009a66a555.nii.gz,512,512,33,0.416015625,0.416015625,5.0,0.8653450012207031,7.041680335998535,0.008149147033691406,1,0,0.0,1,1,-1020.0,1614.0,-1009.0,1267.0234375
raw,009e4a17fa,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/009e4a17fa.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/009e4a17fa.nii.gz,512,512,36,0.4882810115814209,0.4882810115814209,3.9133429527282715,0.9330127551806515,8.576188087463379,0.008912086486816406,1,0,0.0,1,1,-3024.0,2055.0,-3024.0,1506.00390625
raw,00aa61e004,normal,RSNA-normal,nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/ct_scans/00aa61e004.nii.gz,/content/datasets_local/CT-Seg-1500-Raw/CT-Seg-1500-Raw/Normal Scans/masks/00aa61e004.nii.gz,512,512,32,0.4882810115814209,0.4882810115814209,5.0,1.1920917313548784,7.154829025268555,0.00789642333984375,1,0,0.0,1,1,-3024.0,1926.0,-3024.0,1312.0078125
